instance_id,family,model,data,run,status,objective,wctime,cputime,maxrss,timeout,memout,reason_code,error,log
2008_debruijn_binary_debruijn_binary_02_03,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_03.dzn,KAT f2b89728 dirty portfolio-v3 1200s,SAT,,0.029,0.078012,26800,,,,,docs/logs/minizinc/kat-f2b89728-portfolio-v3-1200s-gr10609/runsolver/runsolver-kat-mznchallenge-all-1200s-20260620-f2b89728-dirty-mznfull10609-full1801-20834358-1-2008_debruijn_binary_debruijn_binary_02_03/output.log
2008_debruijn_binary_debruijn_binary_02_03,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_03.dzn,OR-Tools b21a132690 dirty 1200s,ERR,,1,,,false,false,runner_error,"Error: type error: no function or predicate with this signature found: `int_search(array[int] of var int,string,string,string)'",docs/logs/minizinc/ortools-b21a132690-1200s-gr10497/runsolver/runsolver-ortools-mznchallenge-all-1200s-20260620-b21a132690-dirty-q10497-full1801-20833597-1-2008_debruijn_binary_debruijn_binary_02_03/output.log
2008_debruijn_binary_debruijn_binary_02_07,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_07.dzn,KAT f2b89728 dirty portfolio-v3 1200s,SAT,,0.383,1.2368,61632,,,,,docs/logs/minizinc/kat-f2b89728-portfolio-v3-1200s-gr10609/runsolver/runsolver-kat-mznchallenge-all-1200s-20260620-f2b89728-dirty-mznfull10609-full1801-20834359-2-2008_debruijn_binary_debruijn_binary_02_07/output.log
2008_debruijn_binary_debruijn_binary_02_07,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_07.dzn,OR-Tools b21a132690 dirty 1200s,ERR,,1,,,false,false,runner_error,"Error: type error: no function or predicate with this signature found: `int_search(array[int] of var int,string,string,string)'",docs/logs/minizinc/ortools-b21a132690-1200s-gr10497/runsolver/runsolver-ortools-mznchallenge-all-1200s-20260620-b21a132690-dirty-q10497-full1801-20833598-2-2008_debruijn_binary_debruijn_binary_02_07/output.log
2008_debruijn_binary_debruijn_binary_02_08,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_08.dzn,KAT f2b89728 dirty portfolio-v3 1200s,SAT,,5.484,9.49231,328868,,,,,docs/logs/minizinc/kat-f2b89728-portfolio-v3-1200s-gr10609/runsolver/runsolver-kat-mznchallenge-all-1200s-20260620-f2b89728-dirty-mznfull10609-full1801-20834360-3-2008_debruijn_binary_debruijn_binary_02_08/output.log
2008_debruijn_binary_debruijn_binary_02_08,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_08.dzn,OR-Tools b21a132690 dirty 1200s,ERR,,1,,,false,false,runner_error,"Error: type error: no function or predicate with this signature found: `int_search(array[int] of var int,string,string,string)'",docs/logs/minizinc/ortools-b21a132690-1200s-gr10497/runsolver/runsolver-ortools-mznchallenge-all-1200s-20260620-b21a132690-dirty-q10497-full1801-20833599-3-2008_debruijn_binary_debruijn_binary_02_08/output.log
2008_debruijn_binary_debruijn_binary_02_09,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_09.dzn,KAT f2b89728 dirty portfolio-v3 1200s,SAT,,3.569,23.3286,836572,,,,,docs/logs/minizinc/kat-f2b89728-portfolio-v3-1200s-gr10609/runsolver/runsolver-kat-mznchallenge-all-1200s-20260620-f2b89728-dirty-mznfull10609-full1801-20834361-4-2008_debruijn_binary_debruijn_binary_02_09/output.log
2008_debruijn_binary_debruijn_binary_02_09,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_09.dzn,OR-Tools b21a132690 dirty 1200s,ERR,,1,,,false,false,runner_error,"Error: type error: no function or predicate with this signature found: `int_search(array[int] of var int,string,string,string)'",docs/logs/minizinc/ortools-b21a132690-1200s-gr10497/runsolver/runsolver-ortools-mznchallenge-all-1200s-20260620-b21a132690-dirty-q10497-full1801-20833600-4-2008_debruijn_binary_debruijn_binary_02_09/output.log
2008_debruijn_binary_debruijn_binary_02_10,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_10.dzn,KAT f2b89728 dirty portfolio-v3 1200s,SAT,,88.668,184.151,4678052,,,,,docs/logs/minizinc/kat-f2b89728-portfolio-v3-1200s-gr10609/runsolver/runsolver-kat-mznchallenge-all-1200s-20260620-f2b89728-dirty-mznfull10609-full1801-20834362-5-2008_debruijn_binary_debruijn_binary_02_10/output.log
2008_debruijn_binary_debruijn_binary_02_10,2008/debruijn_binary,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_10.dzn,OR-Tools b21a132690 dirty 1200s,ERR,,1,,,false,false,runner_error,"Error: type error: no function or predicate with this signature found: `int_search(array[int] of var int,string,string,string)'",docs/logs/minizinc/ortools-b21a132690-1200s-gr10497/runsolver/runsolver-ortools-mznchallenge-all-1200s-20260620-b21a132690-dirty-q10497-full1801-20833601-5-2008_debruijn_binary_debruijn_binary_02_10/output.log
