instance_id,instance_relpath,data_relpath_1
2008_debruijn_binary_debruijn_binary_02_03,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_03.dzn
2008_debruijn_binary_debruijn_binary_02_07,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_07.dzn
2008_debruijn_binary_debruijn_binary_02_08,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_08.dzn
2008_debruijn_binary_debruijn_binary_02_09,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_09.dzn
2008_debruijn_binary_debruijn_binary_02_10,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/02_10.dzn
2008_debruijn_binary_debruijn_binary_03_06,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/03_06.dzn
2008_debruijn_binary_debruijn_binary_03_07,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/03_07.dzn
2008_debruijn_binary_debruijn_binary_03_08,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/03_08.dzn
2008_debruijn_binary_debruijn_binary_04_06,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/04_06.dzn
2008_debruijn_binary_debruijn_binary_04_07,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/04_07.dzn
2008_debruijn_binary_debruijn_binary_04_08,2008/debruijn_binary/debruijn_binary.mzn,2008/debruijn_binary/04_08.dzn
2008_nmseq_nmseq_020,2008/nmseq/nmseq.mzn,2008/nmseq/020.dzn
2008_nmseq_nmseq_040,2008/nmseq/nmseq.mzn,2008/nmseq/040.dzn
2008_nmseq_nmseq_060,2008/nmseq/nmseq.mzn,2008/nmseq/060.dzn
2008_nmseq_nmseq_080,2008/nmseq/nmseq.mzn,2008/nmseq/080.dzn
2008_nmseq_nmseq_100,2008/nmseq/nmseq.mzn,2008/nmseq/100.dzn
2008_nmseq_nmseq_150,2008/nmseq/nmseq.mzn,2008/nmseq/150.dzn
2008_nmseq_nmseq_200,2008/nmseq/nmseq.mzn,2008/nmseq/200.dzn
2008_nmseq_nmseq_300,2008/nmseq/nmseq.mzn,2008/nmseq/300.dzn
2008_nmseq_nmseq_400,2008/nmseq/nmseq.mzn,2008/nmseq/400.dzn
2008_nmseq_nmseq_500,2008/nmseq/nmseq.mzn,2008/nmseq/500.dzn
2008_pentominoes-int_pentominoes-int_01,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/01.dzn
2008_pentominoes-int_pentominoes-int_02,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/02.dzn
2008_pentominoes-int_pentominoes-int_03,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/03.dzn
2008_pentominoes-int_pentominoes-int_04,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/04.dzn
2008_pentominoes-int_pentominoes-int_05,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/05.dzn
