run_key,label,status,count
log_scop_exact_time_rd,log-scop + exact + time-rd,internal_error,14
log_scop_exact_time_rd,log-scop + exact + time-rd,optimum,40
log_scop_exact_time_rd,log-scop + exact + time-rd,out_of_memory,10
log_scop_exact_time_rd,log-scop + exact + time-rd,timeout_incumbent,86
log_scop_exact_time_rd,log-scop + exact + time-rd,timeout_unknown,15
log_scop_exact_task_rd,log-scop + exact + task-rd,optimum,50
log_scop_exact_task_rd,log-scop + exact + task-rd,out_of_memory,20
log_scop_exact_task_rd,log-scop + exact + task-rd,sat_no_proof,3
log_scop_exact_task_rd,log-scop + exact + task-rd,timeout_incumbent,67
log_scop_exact_task_rd,log-scop + exact + task-rd,timeout_unknown,10
log_scop_exact_task_rd,log-scop + exact + task-rd,unsat,15
log_scop_extprop_bound_prop,log-scop + extprop + bound-prop,internal_error,13
log_scop_extprop_bound_prop,log-scop + extprop + bound-prop,optimum,48
log_scop_extprop_bound_prop,log-scop + extprop + bound-prop,sat_no_proof,6
log_scop_extprop_bound_prop,log-scop + extprop + bound-prop,timeout_incumbent,80
log_scop_extprop_bound_prop,log-scop + extprop + bound-prop,timeout_unknown,18
order_ge_exact_time_rd,order-ge + exact + time-rd,encode_failed,6
order_ge_exact_time_rd,order-ge + exact + time-rd,optimum,23
order_ge_exact_time_rd,order-ge + exact + time-rd,out_of_memory,39
order_ge_exact_time_rd,order-ge + exact + time-rd,sat_no_proof,42
order_ge_exact_time_rd,order-ge + exact + time-rd,timeout_incumbent,18
order_ge_exact_time_rd,order-ge + exact + time-rd,timeout_unknown,37
order_ge_exact_task_rd,order-ge + exact + task-rd,encode_failed,3
order_ge_exact_task_rd,order-ge + exact + task-rd,optimum,18
order_ge_exact_task_rd,order-ge + exact + task-rd,out_of_memory,54
order_ge_exact_task_rd,order-ge + exact + task-rd,sat_no_proof,38
order_ge_exact_task_rd,order-ge + exact + task-rd,timeout_incumbent,28
order_ge_exact_task_rd,order-ge + exact + task-rd,timeout_unknown,12
order_ge_exact_task_rd,order-ge + exact + task-rd,unsat,12
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,encode_failed,6
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,optimum,26
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,out_of_memory,16
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,sat_no_proof,25
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,timeout_incumbent,45
order_ge_extprop_bound_prop,order-ge + extprop + bound-prop,timeout_unknown,47
