instance_id,instance_relpath
2496,competition/2022-2025/CSP22to25/Accordion-11-01_c25.xml.lzma
2497,competition/2022-2025/CSP22to25/Accordion-11-03_c25.xml.lzma
2498,competition/2022-2025/CSP22to25/Accordion-12-01_c25.xml.lzma
2499,competition/2022-2025/CSP22to25/Accordion-12-03_c25.xml.lzma
2500,competition/2022-2025/CSP22to25/Accordion-13-02_c25.xml.lzma
2501,competition/2022-2025/CSP22to25/Accordion-14-03_c25.xml.lzma
2502,competition/2022-2025/CSP22to25/Accordion-14-04_c25.xml.lzma
2503,competition/2022-2025/CSP22to25/Accordion-15-03_c25.xml.lzma
2504,competition/2022-2025/CSP22to25/Accordion-15-04_c25.xml.lzma
2505,competition/2022-2025/CSP22to25/Accordion-16-01_c25.xml.lzma
2506,competition/2022-2025/CSP22to25/Accordion-16-04_c25.xml.lzma
2507,competition/2022-2025/CSP22to25/Accordion-16-05_c25.xml.lzma
2508,competition/2022-2025/CSP22to25/AlmostMagic-03-030_c25.xml.lzma
2509,competition/2022-2025/CSP22to25/AlmostMagic-03-035_c25.xml.lzma
2510,competition/2022-2025/CSP22to25/AlmostMagic-03-040_c25.xml.lzma
2511,competition/2022-2025/CSP22to25/AlmostMagic-03-070_c25.xml.lzma
2512,competition/2022-2025/CSP22to25/AlmostMagic-04-050_c25.xml.lzma
2513,competition/2022-2025/CSP22to25/AlmostMagic-04-080_c25.xml.lzma
2514,competition/2022-2025/CSP22to25/AlmostMagic-05-070_c25.xml.lzma
2515,competition/2022-2025/CSP22to25/AlmostMagic-06-100_c25.xml.lzma
2516,competition/2022-2025/CSP22to25/AlmostMagic-07-130_c25.xml.lzma
2517,competition/2022-2025/CSP22to25/AlmostMagic-08-160_c25.xml.lzma
2518,competition/2022-2025/CSP22to25/AlmostMagic-09-200_c25.xml.lzma
2519,competition/2022-2025/CSP22to25/AlmostMagic-10-250_c25.xml.lzma
2520,competition/2022-2025/CSP22to25/AnotherMagicSquare-02_c23.xml.lzma
2521,competition/2022-2025/CSP22to25/AnotherMagicSquare-03_c23.xml.lzma
2522,competition/2022-2025/CSP22to25/AnotherMagicSquare-04_c23.xml.lzma
2523,competition/2022-2025/CSP22to25/AnotherMagicSquare-05_c23.xml.lzma
2524,competition/2022-2025/CSP22to25/AnotherMagicSquare-06_c23.xml.lzma
2525,competition/2022-2025/CSP22to25/AnotherMagicSquare-07_c23.xml.lzma
2526,competition/2022-2025/CSP22to25/AnotherMagicSquare-08_c23.xml.lzma
2527,competition/2022-2025/CSP22to25/AnotherMagicSquare-09_c23.xml.lzma
2528,competition/2022-2025/CSP22to25/AnotherMagicSquare-10_c23.xml.lzma
2529,competition/2022-2025/CSP22to25/AnotherMagicSquare-12_c23.xml.lzma
2530,competition/2022-2025/CSP22to25/AntimagicSquare-03_c23.xml.lzma
2531,competition/2022-2025/CSP22to25/AntimagicSquare-04_c23.xml.lzma
2532,competition/2022-2025/CSP22to25/AntimagicSquare-05_c23.xml.lzma
