instance_id,instance,sense,issue,detail
2,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,minimize,unsat_with_value,"UNSAT from f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity; values from 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=31, 10c9c43b-dirty-noinc203-cegar-norootlp=29, ace64g-rr-20260505=26, pycsp3-extra-ortools-20260505=21, pycsp3-extra-ortools-1t-rerun1-20260505=21, pycsp3-extra-ortools-1t-verbose1-20260509=21"
2,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,minimize,incumbent_beats_optimum,optimum=31; 10c9c43b-dirty-noinc203-cegar-norootlp=29; ace64g-rr-20260505=26; pycsp3-extra-ortools-20260505=21; pycsp3-extra-ortools-1t-rerun1-20260505=21; pycsp3-extra-ortools-1t-verbose1-20260509=21
37,competition/2022-2025/COP22to25/AircraftLanding-table-airland01_c22.xml.lzma,minimize,optimal_mismatch,1d1a452a-direct-order=70000; 1d1a452a-log-scop=70000; a32997fd-direct-order=70000; 31b6e7a3-scip-log-scop-rerun2=70000; 9c976720-scip-log-scop-dynamic=70000; 10c9c43b-dirty-log-scop-dadda-norootlp=70000; 1173b3f4-scip-direct-order-extge-eager-dynwatch=70000; 1173b3f4-direct-order-extprop8196-s40-20260512=70000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=3335000; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=70000; ace64g-rr-20260505=70000; pycsp3-extra-ortools-20260505=70000; pycsp3-extra-ortools-1t-rerun1-20260505=70000; pycsp3-extra-ortools-1t-verbose1-20260509=70000
38,competition/2022-2025/COP22to25/AircraftLanding-table-airland02_c22.xml.lzma,minimize,optimal_mismatch,1d1a452a-log-scop=148000; 31b6e7a3-scip-log-scop-rerun2=148000; 9c976720-scip-log-scop-dynamic=148000; 1173b3f4-scip-direct-order-extge-eager-dynwatch=148000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=7562000; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=397000; ace64g-rr-20260505=148000; pycsp3-extra-ortools-20260505=148000; pycsp3-extra-ortools-1t-rerun1-20260505=148000; pycsp3-extra-ortools-1t-verbose1-20260509=148000
39,competition/2022-2025/COP22to25/AircraftLanding-table-airland03_c22.xml.lzma,minimize,optimal_mismatch,1d1a452a-log-scop=82000; 31b6e7a3-scip-log-scop-rerun2=82000; 9c976720-scip-log-scop-dynamic=82000; 1173b3f4-scip-direct-order-extge-eager-dynwatch=82000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=5865000; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=702000; ace64g-rr-20260505=82000; pycsp3-extra-ortools-20260505=82000; pycsp3-extra-ortools-1t-rerun1-20260505=82000; pycsp3-extra-ortools-1t-verbose1-20260509=82000
40,competition/2022-2025/COP22to25/AircraftLanding-table-airland04_c22.xml.lzma,minimize,optimal_mismatch,1d1a452a-log-scop=252000; 31b6e7a3-scip-log-scop-rerun2=252000; 1173b3f4-scip-direct-order-extge-eager-dynwatch=252000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=11734000; ace64g-rr-20260505=252000; pycsp3-extra-ortools-1t-rerun1-20260505=252000; pycsp3-extra-ortools-1t-verbose1-20260509=252000
41,competition/2022-2025/COP22to25/AircraftLanding-table-airland05_c22.xml.lzma,minimize,optimal_mismatch,1173b3f4-scip-direct-order-extge-eager-dynwatch=310000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=7873000; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=7992000; pycsp3-extra-ortools-1t-rerun1-20260505=310000; pycsp3-extra-ortools-1t-verbose1-20260509=310000
43,competition/2022-2025/COP22to25/AircraftLanding-table-airland07_c22.xml.lzma,minimize,optimal_mismatch,1d1a452a-direct-order=155000; 1d1a452a-log-scop=155000; a32997fd-direct-order=155000; 31b6e7a3-scip-log-scop-rerun2=155000; 9c976720-scip-log-scop-dynamic=155000; 261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=733700; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=155000; ace64g-rr-20260505=155000; pycsp3-extra-ortools-20260505=155000; pycsp3-extra-ortools-1t-rerun1-20260505=155000; pycsp3-extra-ortools-1t-verbose1-20260509=155000
44,competition/2022-2025/COP22to25/AircraftLanding-table-airland08_c22.xml.lzma,minimize,optimal_mismatch,261d4b72-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=33914500; f85951b8-direct-order-extprop8196-s40-extobj-norootlp-nomaxarity=9160000
45,competition/2022-2025/COP22to25/AircraftLanding-table-airland09_c22.xml.lzma,minimize,incumbent_beats_optimum,optimum=17191128; 1d1a452a-log-scop=10776330; 31b6e7a3-scip-rerun1=4004601; 31b6e7a3-scip-log-scop-rerun2=10776330; 9c976720-scip-log-scop-dynamic=10776330; 9c976720-scip-direct-order-dynamic=3831151; bd3c9f7d-scip-log-scop-dynamic=10776330; 835f8aaf-scip-log-scop-dynamic=6050974; 10c9c43b-dirty-log-scop-dadda-norootlp=7544380; 10c9c43b-dirty-log-scop-autobdd-norootlp-rerun1=5682479; a5249e5b-log-scop-autobdd-norootlp=5682479; f85951b8-log-scop-autobdd-norootlp=5682479; 1173b3f4-scip-direct-order-extge-eager-dynwatch=16971146; ace64g-rr-20260505=571171; pycsp3-extra-ortools-20260505=1461584; pycsp3-extra-ortools-1t-rerun1-20260505=1236257; pycsp3-extra-ortools-1t-verbose1-20260509=1236257
