
ACE v2.6 

  instance
    name:SameQueensKnights-b-25_c24
    args:/work/19333037_787/SameQueensKnights-b-25_c24.xml -rr=true -rlog=false -npc=true

 ...Parsing /work/19333037_787/SameQueensKnights-b-25_c24.xml

 ...Loading variables

 ...Loading constraints

  domains
    types:21  values:113,709  sizes:[2:1250,3:625,5:4,7:8...181:24,185:16,189:8,193:1]
  variables
    count:3,127  auxiliary:1,250  arrays:[x:625,aux_gb:1250,_ax_:1250]  degrees:[2:2500,3:2,78:4,79:8...102:24,104:16,106:8,108:1]
  constraints
    count:3,754  specific:3,754  postponable:2  groups:2  arities:[2:2502,3:4,4:8,5:88...93:16,95:8,97:1,626:2]
    objective:[SumSimpleGE,SumSimpleLE]
    non_unary:[LogicTree:1250,Reif2EQ:1250,STR0a-Table:12,SumWeightedEQ:1240]
    tables:[9:4,27:8]  tuples:252
    extStructures:(12,shared:0)
    wck:1.14  cpu:1.533  mem:671M88
  objective
    way:max  type:SumSimpleGE  arity:2  bounds:0..50

 ...Building solver

  solver
    nNotAC:1,240  decoder:Decoder1
    wck:1.22  cpu:1.601  mem:721M420

  preprocessing
    entailed:2  values:113,709  unsat:false
    wck:0.011  cpu:1.613  mem:721M420

  search
o 0   1.51  ham=0 (0 0 0 0)  opth=0
o 1   1.51  ham=77 (1 74 1 1)  opth=1
o 2   1.52  ham=131 (2 124 2 3)  opth=2
o 3   1.52  ham=79 (1 76 1 1)  opth=1
o 4   1.53  ham=79 (1 76 1 1)  opth=1
o 5   1.53  ham=79 (1 76 1 1)  opth=1
o 6   1.54  ham=79 (1 76 1 1)  opth=1
o 7   1.54  ham=79 (1 76 1 1)  opth=1
o 8   1.55  ham=79 (1 76 1 1)  opth=1
o 9   1.55  ham=79 (1 76 1 1)  opth=1
o 10   1.56  ham=79 (1 76 1 1)  opth=1
    run1  dpts:615..625  robin:PickOnDom-First  effs:64,282  asgs:(653,noefs=0,fails=9)  fails:9  wrgs:10  wck:0.34  ngds:2  sols:11  bounds:11..50
o 25   2.14  ham=696 (35 625 1 35)  opth=1
o 26   2.26  ham=194 (3 187 1 3)  opth=1
o 27   2.76  ham=380 (8 362 1 9)  opth=1
o 28   2.88  ham=474 (13 447 1 13)  opth=1
o 29   3.01  ham=294 (11 271 1 11)  opth=1
    run2  dpts:20..29  robin:WdegOnDom-Last  effs:417,996  asgs:(159,noefs=3,fails=50)  fails:59  wrgs:89  wck:2.02  ngds:9  sols:16  bounds:30..50
o 30   3.37  ham=874 (56 759 2 57)  opth=2
o 31   3.39  ham=424 (10 401 2 11)  opth=2
o 32   3.39  ham=221 (3 214 1 3)  opth=1
o 33   3.39  ham=97 (1 94 1 1)  opth=1
    run3  dpts:37..51  robin:FrbaOnDom-Rand  effs:490,907  asgs:(179,noefs=1,fails=50)  fails:109  wrgs:192  wck:2.20  ngds:11  sols:20  bounds:34..50
    run4  dpts:586..610  robin:Wdeg-First  effs:678,534  asgs:(971,noefs=4,fails=50)  fails:159  wrgs:540  wck:2.71  ngds:18  sols:20  bounds:34..50
    run5  dpts:20..30  robin:PickOnDom-Last  effs:791,531  asgs:(117,noefs=1,fails=52)  fails:211  wrgs:603  wck:3.31  ngds:25  sols:20  bounds:34..50
    run6  dpts:32..58  robin:WdegOnDom-Rand  effs:865,335  asgs:(190,noefs=1,fails=55)  fails:266  wrgs:702  wck:3.46  ngds:30  sols:20  bounds:34..50
    run7  dpts:1187..1209  robin:FrbaOnDom-First  effs:1,017,917  asgs:(1409,noefs=3,fails=57)  fails:323  wrgs:892  wck:4.02  ngds:35  sols:20  bounds:34..50
    run8  dpts:23..32  robin:Wdeg-Last  effs:1,139,346  asgs:(151,noefs=2,fails=60)  fails:383  wrgs:963  wck:4.70  ngds:53  sols:20  bounds:34..50
    run9  dpts:54..72  robin:PickOnDom-Rand  effs:1,478,478  asgs:(197,noefs=7,fails=63)  fails:446  wrgs:1,070  wck:5.98  ngds:64  sols:20  bounds:34..50
    run10  dpts:1200..1214  robin:WdegOnDom-First  effs:1,647,105  asgs:(1441,noefs=0,fails=67)  fails:513  wrgs:1,252  wck:6.44  ngds:69  sols:20  bounds:34..50
    run11  dpts:20..32  robin:FrbaOnDom-Last  effs:1,714,375  asgs:(158,noefs=17,fails=70)  fails:583  wrgs:1,365  wck:6.59  ngds:85  sols:20  bounds:34..50
    run12  dpts:24..37  robin:Wdeg-Rand  effs:1,761,400  asgs:(238,noefs=4,fails=73)  fails:656  wrgs:1,503  wck:6.76  ngds:89  sols:20  bounds:34..50
    run13  dpts:633..646  robin:PickOnDom-First  effs:1,930,456  asgs:(899,noefs=9,fails=77)  fails:733  wrgs:1,749  wck:7.15  ngds:91  sols:20  bounds:34..50
 ...Starting SOS
o 34   8.50  ham=83 (1 80 1 1)  opth=1
o 36   8.52  ham=289 (6 276 1 6)  opth=1
o 38   8.53  ham=238 (4 228 2 4)  opth=2
o 39   8.53  ham=79 (1 76 1 1)  opth=1
o 40   8.53  ham=79 (1 76 1 1)  opth=1
    run14  dpts:139..165  robin:WdegOnDom-Last  effs:2,037,377  asgs:(405,noefs=16,fails=81)  fails:814  wrgs:1,918  wck:7.41  ngds:94  sols:25  bounds:41..50
    run15  dpts:135..160  robin:FrbaOnDom-Rand  effs:2,096,802  asgs:(243,noefs=13,fails=50)  fails:864  wrgs:2,007  wck:7.64  ngds:103  sols:25  bounds:41..50
    run16  dpts:132..149  robin:Wdeg-First  effs:2,174,167  asgs:(274,noefs=5,fails=52)  fails:916  wrgs:2,106  wck:7.87  ngds:106  sols:25  bounds:41..50
    run17  dpts:181..201  robin:PickOnDom-Last  effs:2,269,500  asgs:(316,noefs=20,fails=55)  fails:971  wrgs:2,216  wck:8.20  ngds:110  sols:25  bounds:41..50
    run18  dpts:980..994  robin:WdegOnDom-Rand  effs:2,384,329  asgs:(1172,noefs=13,fails=57)  fails:1,028  wrgs:2,359  wck:8.54  ngds:112  sols:25  bounds:41..50
    run19  dpts:52..65  robin:FrbaOnDom-First  effs:2,445,226  asgs:(173,noefs=13,fails=60)  fails:1,088  wrgs:2,465  wck:8.71  ngds:118  sols:25  bounds:41..50
    run20  dpts:153..171  robin:Wdeg-Last  effs:2,620,876  asgs:(346,noefs=2,fails=63)  fails:1,151  wrgs:2,606  wck:9.46  ngds:120  sols:25  bounds:41..50
    run21  dpts:85..106  robin:PickOnDom-Rand  effs:2,709,112  asgs:(245,noefs=14,fails=67)  fails:1,218  wrgs:2,742  wck:9.68  ngds:124  sols:25  bounds:41..50
    run22  dpts:134..148  robin:WdegOnDom-First  effs:2,852,322  asgs:(363,noefs=3,fails=70)  fails:1,288  wrgs:2,917  wck:9.94  ngds:126  sols:25  bounds:41..50
    run23  dpts:54..69  robin:FrbaOnDom-Last  effs:2,918,045  asgs:(185,noefs=10,fails=73)  fails:1,361  wrgs:3,024  wck:10.2  ngds:132  sols:25  bounds:41..50
    run24  dpts:89..107  robin:Wdeg-Rand  effs:3,075,831  asgs:(359,noefs=2,fails=77)  fails:1,438  wrgs:3,235  wck:10.6  ngds:138  sols:25  bounds:41..50
    run25  dpts:54..70  robin:PickOnDom-First  effs:3,170,803  asgs:(241,noefs=6,fails=81)  fails:1,519  wrgs:3,387  wck:10.8  ngds:141  sols:25  bounds:41..50
    run26  dpts:1045..1061  robin:WdegOnDom-Last  effs:3,313,584  asgs:(1286,noefs=1,fails=85)  fails:1,604  wrgs:3,560  wck:11.2  ngds:145  sols:25  bounds:41..50
    run27  dpts:42..57  robin:FrbaOnDom-Rand  effs:3,392,251  asgs:(204,noefs=16,fails=89)  fails:1,693  wrgs:3,690  wck:11.4  ngds:161  sols:25  bounds:41..50
    run28  dpts:94..107  robin:Wdeg-First  effs:3,570,556  asgs:(352,noefs=11,fails=94)  fails:1,787  wrgs:3,895  wck:11.8  ngds:163  sols:25  bounds:41..50
    run29  dpts:51..72  robin:PickOnDom-Last  effs:3,671,521  asgs:(283,noefs=8,fails=98)  fails:1,885  wrgs:4,060  wck:12.1  ngds:167  sols:25  bounds:41..50
    run30  dpts:168..189  robin:WdegOnDom-Rand  effs:3,896,674  asgs:(522,noefs=0,fails=103)  fails:1,988  wrgs:4,319  wck:12.4  ngds:174  sols:25  bounds:41..50
    run31  dpts:51..77  robin:FrbaOnDom-First  effs:4,022,471  asgs:(318,noefs=23,fails=109)  fails:2,097  wrgs:4,544  wck:12.8  ngds:198  sols:25  bounds:41..50
o 41   14.3  ham=558 (19 519 1 19)  opth=1
    run32  dpts:73..87  robin:Wdeg-Last  effs:4,201,158  asgs:(358,noefs=12,fails=114)  fails:2,211  wrgs:4,746  wck:13.2  ngds:200  sols:26  bounds:42..50
    run33  dpts:51..77  robin:PickOnDom-Rand  effs:4,269,106  asgs:(190,noefs=2,fails=50)  fails:2,261  wrgs:4,854  wck:13.5  ngds:207  sols:26  bounds:42..50
    run34  dpts:616..633  robin:WdegOnDom-First  effs:4,422,947  asgs:(820,noefs=47,fails=52)  fails:2,313  wrgs:5,008  wck:14.0  ngds:209  sols:26  bounds:42..50
    run35  dpts:38..82  robin:FrbaOnDom-Last  effs:4,480,560  asgs:(168,noefs=11,fails=55)  fails:2,368  wrgs:5,095  wck:14.2  ngds:229  sols:26  bounds:42..50
    run36  dpts:56..68  robin:Wdeg-Rand  effs:4,568,851  asgs:(225,noefs=4,fails=57)  fails:2,425  wrgs:5,223  wck:14.5  ngds:232  sols:26  bounds:42..50
    run37  dpts:43..68  robin:PickOnDom-First  effs:4,678,942  asgs:(219,noefs=1,fails=60)  fails:2,485  wrgs:5,384  wck:14.8  ngds:237  sols:26  bounds:42..50
    run38  dpts:730..741  robin:WdegOnDom-Last  effs:4,833,976  asgs:(887,noefs=9,fails=63)  fails:2,548  wrgs:5,510  wck:15.3  ngds:238  sols:26  bounds:42..50
    run39  dpts:53..65  robin:FrbaOnDom-Rand  effs:4,894,333  asgs:(178,noefs=12,fails=67)  fails:2,615  wrgs:5,603  wck:15.5  ngds:252  sols:26  bounds:42..50
    run40  dpts:58..75  robin:Wdeg-First  effs:5,045,060  asgs:(258,noefs=14,fails=70)  fails:2,685  wrgs:5,771  wck:15.8  ngds:254  sols:26  bounds:42..50
    run41  dpts:38..48  robin:PickOnDom-Last  effs:5,114,506  asgs:(191,noefs=8,fails=73)  fails:2,758  wrgs:5,881  wck:16.0  ngds:261  sols:26  bounds:42..50
    run42  dpts:848..863  robin:WdegOnDom-Rand  effs:5,275,022  asgs:(1104,noefs=18,fails=77)  fails:2,835  wrgs:6,065  wck:16.5  ngds:265  sols:26  bounds:42..50
    run43  dpts:47..67  robin:FrbaOnDom-First  effs:5,350,040  asgs:(221,noefs=25,fails=81)  fails:2,916  wrgs:6,208  wck:16.7  ngds:283  sols:26  bounds:42..50
    run44  dpts:58..68  robin:Wdeg-Last  effs:5,481,248  asgs:(244,noefs=9,fails=85)  fails:3,001  wrgs:6,351  wck:17.0  ngds:290  sols:26  bounds:42..50
    run45  dpts:37..55  robin:PickOnDom-Rand  effs:5,588,070  asgs:(253,noefs=0,fails=89)  fails:3,090  wrgs:6,509  wck:17.2  ngds:294  sols:26  bounds:42..50
    run46  dpts:504..520  robin:WdegOnDom-First  effs:5,763,128  asgs:(864,noefs=9,fails=94)  fails:3,184  wrgs:6,789  wck:17.6  ngds:299  sols:26  bounds:42..50
