JobID|JobIDRaw|JobName|State|ExitCode|Elapsed
19856575_1|19856823|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_1.batch|19856823.batch|batch|FAILED|1:0|00:00:03
19856575_1.extern|19856823.extern|extern|COMPLETED|0:0|00:00:04
19856575_2|19856824|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_2.batch|19856824.batch|batch|FAILED|1:0|00:00:03
19856575_2.extern|19856824.extern|extern|COMPLETED|0:0|00:00:04
19856575_3|19856825|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_3.batch|19856825.batch|batch|FAILED|1:0|00:00:03
19856575_3.extern|19856825.extern|extern|COMPLETED|0:0|00:00:04
19856575_4|19856826|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_4.batch|19856826.batch|batch|FAILED|1:0|00:00:03
19856575_4.extern|19856826.extern|extern|COMPLETED|0:0|00:00:04
19856575_5|19856827|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_5.batch|19856827.batch|batch|FAILED|1:0|00:00:03
19856575_5.extern|19856827.extern|extern|COMPLETED|0:0|00:00:04
19856575_6|19856828|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_6.batch|19856828.batch|batch|FAILED|1:0|00:00:03
19856575_6.extern|19856828.extern|extern|COMPLETED|0:0|00:00:04
19856575_7|19856829|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_7.batch|19856829.batch|batch|FAILED|1:0|00:00:03
19856575_7.extern|19856829.extern|extern|COMPLETED|0:0|00:00:04
19856575_8|19856830|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_8.batch|19856830.batch|batch|FAILED|1:0|00:00:03
19856575_8.extern|19856830.extern|extern|COMPLETED|0:0|00:00:04
19856575_9|19856831|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_9.batch|19856831.batch|batch|FAILED|1:0|00:00:03
19856575_9.extern|19856831.extern|extern|COMPLETED|0:0|00:00:04
19856575_10|19856832|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_10.batch|19856832.batch|batch|FAILED|1:0|00:00:03
19856575_10.extern|19856832.extern|extern|COMPLETED|0:0|00:00:04
19856575_11|19856833|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_11.batch|19856833.batch|batch|FAILED|1:0|00:00:03
19856575_11.extern|19856833.extern|extern|COMPLETED|0:0|00:00:04
19856575_12|19856834|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_12.batch|19856834.batch|batch|FAILED|1:0|00:00:03
19856575_12.extern|19856834.extern|extern|COMPLETED|0:0|00:00:04
19856575_13|19856835|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_13.batch|19856835.batch|batch|FAILED|1:0|00:00:03
19856575_13.extern|19856835.extern|extern|COMPLETED|0:0|00:00:04
19856575_14|19856836|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_14.batch|19856836.batch|batch|FAILED|1:0|00:00:03
19856575_14.extern|19856836.extern|extern|COMPLETED|0:0|00:00:04
19856575_15|19856837|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_15.batch|19856837.batch|batch|FAILED|1:0|00:00:03
19856575_15.extern|19856837.extern|extern|COMPLETED|0:0|00:00:04
19856575_16|19856838|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_16.batch|19856838.batch|batch|FAILED|1:0|00:00:03
19856575_16.extern|19856838.extern|extern|COMPLETED|0:0|00:00:04
19856575_17|19856839|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_17.batch|19856839.batch|batch|FAILED|1:0|00:00:03
19856575_17.extern|19856839.extern|extern|COMPLETED|0:0|00:00:04
19856575_18|19856840|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_18.batch|19856840.batch|batch|FAILED|1:0|00:00:03
19856575_18.extern|19856840.extern|extern|COMPLETED|0:0|00:00:04
