run_key,label,status,count
log_scop_time_rd,log-scop + time-rd,optimum,44
log_scop_time_rd,log-scop + time-rd,out_of_memory,3
log_scop_time_rd,log-scop + time-rd,sat_no_proof,15
log_scop_time_rd,log-scop + time-rd,timeout_incumbent,88
log_scop_time_rd,log-scop + time-rd,timeout_unknown,15
log_scop_task_rd,log-scop + task-rd,missing_instance,27
log_scop_task_rd,log-scop + task-rd,optimum,30
log_scop_task_rd,log-scop + task-rd,out_of_memory,16
log_scop_task_rd,log-scop + task-rd,sat_no_proof,3
log_scop_task_rd,log-scop + task-rd,timeout_incumbent,60
log_scop_task_rd,log-scop + task-rd,timeout_unknown,14
log_scop_task_rd,log-scop + task-rd,unsat,15
log_scop_cumext,log-scop + cumext,optimum,43
log_scop_cumext,log-scop + cumext,sat_no_proof,20
log_scop_cumext,log-scop + cumext,timeout_incumbent,83
log_scop_cumext,log-scop + cumext,timeout_unknown,19
order_ge_time_rd,order-ge + time-rd,encode_failed,6
order_ge_time_rd,order-ge + time-rd,optimum,23
order_ge_time_rd,order-ge + time-rd,out_of_memory,36
order_ge_time_rd,order-ge + time-rd,timeout_incumbent,62
order_ge_time_rd,order-ge + time-rd,timeout_unknown,38
order_ge_task_rd,order-ge + task-rd,completed_no_row,1
order_ge_task_rd,order-ge + task-rd,encode_failed,3
order_ge_task_rd,order-ge + task-rd,optimum,18
order_ge_task_rd,order-ge + task-rd,out_of_memory,52
order_ge_task_rd,order-ge + task-rd,timeout_incumbent,66
order_ge_task_rd,order-ge + task-rd,timeout_unknown,13
order_ge_task_rd,order-ge + task-rd,unsat,12
order_ge_cumext,order-ge + cumext,encode_failed,6
order_ge_cumext,order-ge + cumext,optimum,22
order_ge_cumext,order-ge + cumext,out_of_memory,16
order_ge_cumext,order-ge + cumext,timeout_incumbent,76
order_ge_cumext,order-ge + cumext,timeout_unknown,45
