JobID,State,ExitCode,Elapsed,MaxRSS
19442938_1,COMPLETED,0:0,00:30:05,
19442938_1.batch,COMPLETED,0:0,00:30:05,8677056K
19442938_1.extern,COMPLETED,0:0,00:30:05,0
19442938_2,COMPLETED,0:0,00:11:06,
19442938_2.batch,COMPLETED,0:0,00:11:06,6669896K
19442938_2.extern,COMPLETED,0:0,00:11:06,0
19442938_3,COMPLETED,0:0,00:30:05,
19442938_3.batch,COMPLETED,0:0,00:30:05,7586664K
19442938_3.extern,COMPLETED,0:0,00:30:05,0
19442938_4,COMPLETED,0:0,00:21:43,
19442938_4.batch,COMPLETED,0:0,00:21:43,7649788K
19442938_4.extern,COMPLETED,0:0,00:21:43,0
19442938_5,COMPLETED,0:0,00:30:05,
19442938_5.batch,COMPLETED,0:0,00:30:05,66690376K
19442938_5.extern,COMPLETED,0:0,00:30:05,0
19442938_6,COMPLETED,0:0,00:30:05,
19442938_6.batch,COMPLETED,0:0,00:30:05,67345492K
19442938_6.extern,COMPLETED,0:0,00:30:05,0
19442938_7,COMPLETED,0:0,00:30:05,
19442938_7.batch,COMPLETED,0:0,00:30:05,72925100K
19442938_7.extern,COMPLETED,0:0,00:30:05,0
19442938_8,COMPLETED,0:0,00:12:54,
19442938_8.batch,COMPLETED,0:0,00:12:54,32837692K
19442938_8.extern,COMPLETED,0:0,00:12:54,0
19442938_9,COMPLETED,0:0,00:10:48,
19442938_9.batch,COMPLETED,0:0,00:10:48,32771648K
19442938_9.extern,COMPLETED,0:0,00:10:48,0
19442938_10,COMPLETED,0:0,00:14:27,
19442938_10.batch,COMPLETED,0:0,00:14:27,34338568K
19442938_10.extern,COMPLETED,0:0,00:14:27,0
19442938_11,COMPLETED,0:0,00:30:05,
19442938_11.batch,COMPLETED,0:0,00:30:05,7049768K
19442938_11.extern,COMPLETED,0:0,00:30:05,0
19442938_12,COMPLETED,0:0,00:30:05,
19442938_12.batch,COMPLETED,0:0,00:30:05,33560080K
19442938_12.extern,COMPLETED,0:0,00:30:05,0
19442938_13,COMPLETED,0:0,00:30:05,
19442938_13.batch,COMPLETED,0:0,00:30:05,70738052K
19442938_13.extern,COMPLETED,0:0,00:30:05,0
19442938_14,COMPLETED,0:0,00:30:05,
19442938_14.batch,COMPLETED,0:0,00:30:05,70688736K
19442938_14.extern,COMPLETED,0:0,00:30:05,0
19442938_15,COMPLETED,0:0,00:30:05,
19442938_15.batch,COMPLETED,0:0,00:30:05,27447984K
19442938_15.extern,COMPLETED,0:0,00:30:05,0
19442938_16,COMPLETED,0:0,00:30:05,
19442938_16.batch,COMPLETED,0:0,00:30:05,27523732K
19442938_16.extern,COMPLETED,0:0,00:30:05,0
19442938_17,OUT_OF_MEMORY,0:125,00:29:05,
19442938_17.batch,OUT_OF_MEMORY,0:125,00:29:05,122131188K
19442938_17.extern,OUT_OF_MEMORY,0:125,00:29:05,0
19442938_18,COMPLETED,0:0,00:30:08,
19442938_18.batch,COMPLETED,0:0,00:30:08,21132864K
19442938_18.extern,COMPLETED,0:0,00:30:08,0
19442938_19,COMPLETED,0:0,00:30:05,
19442938_19.batch,COMPLETED,0:0,00:30:05,21902960K
19442938_19.extern,COMPLETED,0:0,00:30:05,0
19442938_20,COMPLETED,0:0,00:20:48,
19442938_20.batch,COMPLETED,0:0,00:20:48,82157092K
19442938_20.extern,COMPLETED,0:0,00:20:48,0
19442938_21,COMPLETED,0:0,00:30:05,
19442938_21.batch,COMPLETED,0:0,00:30:05,21227820K
19442938_21.extern,COMPLETED,0:0,00:30:05,0
19442938_22,COMPLETED,0:0,00:30:05,
19442938_22.batch,COMPLETED,0:0,00:30:05,22611240K
19442938_22.extern,COMPLETED,0:0,00:30:05,0
19442938_23,COMPLETED,0:0,00:30:05,
19442938_23.batch,COMPLETED,0:0,00:30:05,20617540K
19442938_23.extern,COMPLETED,0:0,00:30:05,0
19442938_24,COMPLETED,0:0,00:30:05,
19442938_24.batch,COMPLETED,0:0,00:30:05,20653852K
19442938_24.extern,COMPLETED,0:0,00:30:05,0
