instance_id,instance,family,target_run,target_status,target_validation,target_detail,any_kat_incumbent,kat_incumbent_run_count,kat_incumbent_runs,any_external_incumbent,external_incumbent_run_count,external_incumbent_runs
1,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=26; pycsp3-extra-ortools-1t-rerun1-20260505=25.0; pycsp3-extra-ortools-1t-verbose1-20260509=25.0; pycsp3-extra-ortools-20260505=24.0
2,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=26; pycsp3-extra-ortools-1t-rerun1-20260505=21.0; pycsp3-extra-ortools-1t-verbose1-20260509=21.0; pycsp3-extra-ortools-20260505=21.0
3,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=25; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=22.0
4,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=24; pycsp3-extra-ortools-1t-rerun1-20260505=26.0; pycsp3-extra-ortools-1t-verbose1-20260509=26.0; pycsp3-extra-ortools-20260505=20.0
5,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=23; pycsp3-extra-ortools-1t-rerun1-20260505=19.0; pycsp3-extra-ortools-1t-verbose1-20260509=19.0; pycsp3-extra-ortools-20260505=16.0
6,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=24; pycsp3-extra-ortools-1t-rerun1-20260505=17.0; pycsp3-extra-ortools-1t-verbose1-20260509=17.0; pycsp3-extra-ortools-20260505=17.0
7,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=19; pycsp3-extra-ortools-1t-rerun1-20260505=15.0; pycsp3-extra-ortools-1t-verbose1-20260509=15.0; pycsp3-extra-ortools-20260505=15.0
8,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=17; pycsp3-extra-ortools-1t-rerun1-20260505=13.0; pycsp3-extra-ortools-1t-verbose1-20260509=13.0; pycsp3-extra-ortools-20260505=12.0
9,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,1,1d1a452a-log-scop=34,1,4,ace64g-rr-20260505=17; pycsp3-extra-ortools-1t-rerun1-20260505=14.0; pycsp3-extra-ortools-1t-verbose1-20260509=14.0; pycsp3-extra-ortools-20260505=14.0
10,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=13; pycsp3-extra-ortools-1t-rerun1-20260505=12.0; pycsp3-extra-ortools-1t-verbose1-20260509=12.0; pycsp3-extra-ortools-20260505=11.0
