instance_id,instance_relpath
1,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma
2,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma
3,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma
4,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma
5,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma
6,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma
7,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma
8,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma
9,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma
10,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma
11,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma
12,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-0_c23.xml.lzma
13,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-1_c23.xml.lzma
14,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-2_c23.xml.lzma
15,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-0_c23.xml.lzma
16,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma
17,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma
18,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma
19,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma
20,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma
21,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-000-0_c24.xml.lzma
22,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-0_c24.xml.lzma
23,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-1_c24.xml.lzma
24,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-2_c24.xml.lzma
25,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-0_c24.xml.lzma
26,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-1_c24.xml.lzma
27,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-2_c24.xml.lzma
28,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-0_c24.xml.lzma
29,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-1_c24.xml.lzma
30,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-2_c24.xml.lzma
31,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-0_c24.xml.lzma
32,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-1_c24.xml.lzma
33,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-2_c24.xml.lzma
34,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-0_c24.xml.lzma
35,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-1_c24.xml.lzma
36,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-2_c24.xml.lzma
89,competition/2022-2025/COP22to25/Benzenoide-09_c23.xml.lzma
90,competition/2022-2025/COP22to25/Benzenoide-10_c23.xml.lzma
91,competition/2022-2025/COP22to25/Benzenoide-11_c23.xml.lzma
92,competition/2022-2025/COP22to25/Benzenoide-12_c23.xml.lzma
93,competition/2022-2025/COP22to25/Benzenoide-13_c23.xml.lzma
94,competition/2022-2025/COP22to25/Benzenoide-14_c23.xml.lzma
95,competition/2022-2025/COP22to25/Benzenoide-15_c23.xml.lzma
101,competition/2022-2025/COP22to25/BinPacking-n4c1w1a_c24.xml.lzma
133,competition/2022-2025/COP22to25/BusScheduling-r3_c25.xml.lzma
136,competition/2022-2025/COP22to25/BusScheduling-r5a_c25.xml.lzma
