instance_id,instance,family,row_present,row_nonempty,log_present,values_present,status,reason,detail,incumbent,validation,sat_started,failure_class,current_stage,last_completed_stage,log_outcome,wctime,cputime,maxrss_kib,maxmm_kib,maxvm_kib,timeout_flag,memout_flag,exitstatus,slurm_task_id,slurm_state,slurm_exit_code,slurm_elapsed,slurm_maxrss,first_sat_start_ms,last_sat_start_ms,sat_rounds,sat_solve_done_rounds,sat_solve_ms_total,source_constraints,normalized_constraints,propagate_ms,normalize_ms,lower_ms,post_lower_ms,root_lp_ms,preencode_ms,encode_ms,sat_vars,sat_clauses,sat_init_vars,sat_init_clauses,ext_ge_specs,relaxed_circuits,lowered_int_vars,lowered_bool_vars,lowered_linear_atoms,lowered_table_atoms,lowered_table_tuples,lowered_alldiff_atoms,lowered_circuit_atoms,lowered_logical_clauses,circuit_cegar_failures,circuit_cegar_rounds,circuit_cegar_added_clauses,cumulative_cegar_failures,cumulative_cegar_rounds,cumulative_cegar_added_clauses,cop_cegar_failures,cop_cegar_rounds,cop_cegar_added_clauses,baseline_status,baseline_sat_started,baseline_stage,baseline_outcome,log_path,values_path
1,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-00-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,relaxation,TO,1800.25,1793.15,9566144,9569196,10223124,true,false,36608,1,COMPLETED,0:0,00:30:05,,77000,1799000,2538,2537,1198192,2669,2669,6,0,12909,1813,0,4385,56173,10787581,31787328,10787581,31787328,0,0,3199,1968258,1482889,0,0,0,0,3282215,0,0,0,2537,2538,2560,0,2538,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442939-1-1/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442939-1-1/values.log
2,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 2120459 clauses in one round, exceeding limit 1000000",29,valid,1,incumbent,decode,encode,,663.221,660.107,7496692,7499640,8064368,false,false,0,2,COMPLETED,0:0,00:11:06,,66000,657000,798,798,447871,2367,2367,5,0,9809,1280,0,3288,50227,9308267,28117645,9308267,28117645,0,0,2859,1507854,1309756,0,0,0,0,2578668,0,0,0,796,798,812,0,798,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442940-2-2/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442940-2-2/values.log
3,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,decode,sat,TO,1800.1,1792.08,8287336,8168200,8974396,true,false,36608,3,COMPLETED,0:0,00:30:05,,67000,1799000,2750,2750,1234141,2275,2275,5,0,10810,1564,0,3696,50174,9529115,28195549,9529115,28195549,0,0,2859,1691140,1298636,0,0,0,0,2824555,0,0,0,2749,2750,2771,0,2750,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442941-3-3/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442941-3-3/values.log
4,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-20-2_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 2209675 clauses in one round, exceeding limit 1000000",30,valid,1,incumbent,decode,encode,,1299.92,1293.2,8480608,8360108,9103604,false,false,0,4,COMPLETED,0:0,00:21:43,,70000,1291000,2079,2079,830173,2266,2266,5,0,11745,1506,0,3946,51460,9659492,28676673,9659492,28676673,0,0,2859,1755168,1311717,0,0,0,0,2961032,0,0,0,2077,2079,2097,0,2079,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442942-4-4/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442942-4-4/values.log
5,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,encode(order-ge),TO,1801.34,1793.12,68565420,68568440,69820088,true,false,36608,5,COMPLETED,0:0,00:30:05,,519000,519000,1,0,0,1826,1826,4,0,144003,29539,0,39973,284571,39753936,566681963,39753936,566681963,0,0,3435309,8043470,8792242,0,0,0,0,17285040,0,0,0,0,1,0,0,1,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442943-5-5/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442943-5-5/values.log
6,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,encode(order-ge),TO,1801.39,1789.12,67480636,67483780,68712532,true,false,36608,6,COMPLETED,0:0,00:30:05,,546000,546000,1,0,0,1872,1872,4,0,151132,40822,0,47453,281137,39990606,510128062,39990606,510128062,0,0,3435309,8198440,8787021,0,0,0,0,17702259,0,0,0,0,1,0,0,1,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442944-6-6/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442944-6-6/values.log
7,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,encode(order-ge),TO,1801.44,1778.58,72915348,73008532,74733508,true,false,36608,7,COMPLETED,0:0,00:30:05,,527000,527000,1,0,0,1869,1869,4,0,143876,30640,0,40340,291278,40087689,581459297,40087689,581459297,0,0,3435309,8241612,8796297,0,0,0,0,17563708,0,0,0,0,1,0,0,1,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442945-7-7/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442945-7-7/values.log
8,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 7778040 clauses in one round, exceeding limit 1000000",40,valid,1,incumbent,decode,encode,,769.362,766.018,33689788,33690628,35390124,false,false,0,8,COMPLETED,0:0,00:12:54,,336000,682000,2,2,349729,1573,1573,3,0,116703,31291,0,36250,133592,32941325,212049667,32941325,212049667,0,0,2974169,6782152,7596425,0,0,0,0,14562204,0,0,0,0,2,0,0,2,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442946-8-8/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442946-8-8/values.log
9,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 7612347 clauses in one round, exceeding limit 1000000",40,valid,1,incumbent,decode,encode,,645.138,641.929,33622592,33622896,35387716,false,false,0,9,COMPLETED,0:0,00:10:48,,323000,557000,2,2,237520,1581,1581,3,0,117915,26174,0,35409,127072,32815448,204832900,32815448,204832900,0,0,2974169,6794304,7601479,0,0,0,0,14667454,0,0,0,0,2,0,0,2,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442947-9-9/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442947-9-9/values.log
10,competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-70-2_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 8203093 clauses in one round, exceeding limit 1000000",40,valid,1,incumbent,decode,encode,,863.832,860.173,35244172,35243612,37080920,false,false,0,10,COMPLETED,0:0,00:14:27,,327000,771000,2,2,448710,1592,1592,3,0,117426,26123,0,34709,130674,33554919,229257283,33554919,229257283,0,0,2974169,7102272,7635479,0,0,0,0,15251352,0,0,0,0,2,0,0,2,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442948-10-10/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442948-10-10/values.log
